t_start;t_end;chord
0.15;2.15;F:maj
2.15;4.15;G:min
4.15;13.65;C:maj
13.65;14.15;A:min
14.15;20.15;F:maj
20.15;24.15;C:maj
24.15;28.15;F:maj
28.15;30.15;C:maj
30.15;31.15;F:maj
31.15;32.15;C:maj
32.15;34.15;F:maj
34.15;35.15;C:maj
35.15;35.65;D#:maj
35.65;36.15;A:min
36.15;38.15;C:maj
38.15;39.15;F:maj
39.15;39.65;D#:maj
39.65;40.15;C:maj
40.15;44.15;F:maj
44.15;46.15;C:maj
46.15;47.15;F:maj
47.15;48.15;C:maj
48.15;50.15;F:maj
50.15;52.15;A#:maj
52.15;53.15;F:maj
53.15;54.15;D:maj
54.15;56.15;G:min
56.15;58.15;C:maj
58.15;60.15;A#:maj
60.15;61.15;F:maj
61.15;62.15;D:maj
62.15;63.15;G:min
63.15;64.15;C:maj
64.15;66.15;F:maj
66.15;67.15;A#:maj
67.15;68.15;C:maj
68.15;70.15;F:maj
70.15;74.15;C:maj
74.15;78.15;F:maj
78.15;80.15;C:maj
80.15;81.15;F:maj
81.15;82.15;C:maj
82.15;84.15;F:maj
84.15;85.15;C:maj
85.15;85.65;D#:maj
85.65;86.15;D:maj
86.15;88.15;C:maj
88.15;89.15;F:maj
89.15;89.65;D#:maj
89.65;90.15;C:maj
90.15;94.15;F:maj
94.15;96.15;C:maj
96.15;97.15;F:maj
97.15;98.15;C:maj
98.15;102.15;F:maj
102.15;104.15;G:min
104.15;106.15;C:maj
106.15;110.15;F:maj
110.15;111.65;C:maj
111.65;112.15;G:min
112.15;113.15;F:maj
113.15;114.15;D:min
114.15;116.15;C:maj
116.15;118.15;F:maj
118.15;120.15;A#:maj
120.15;123.849;F:maj
