t_start;t_end;chord
0.18;11.26;G:maj
11.26;11.72;C:maj
11.72;12.18;E:min
12.18;13.1;C:min
13.1;18.64;G:maj
18.64;19.1;A:maj
19.1;19.56;C:maj
19.56;20.03;F#:min
20.03;20.49;A:maj
20.49;20.95;D:maj
20.95;21.41;F:maj
21.41;21.87;B:min
21.87;23.26;D:maj
23.26;23.72;B:min
23.72;24.18;F:maj
24.18;26.03;G:maj
26.03;26.49;C:maj
26.49;26.95;E:min
26.95;27.41;A:min
27.41;27.87;C:maj
27.87;29.72;B:maj
29.72;31.56;C:maj
31.56;32.49;G:maj
32.49;33.41;A:maj
33.41;34.33;G:maj
34.33;34.8;N
34.8;35.26;D:maj
35.26;38.95;G:maj
38.95;39.87;C:maj
39.87;40.79;A:maj
40.79;43.56;D:maj
43.56;46.33;G:maj
46.33;47.26;C:maj
47.26;48.18;A:maj
48.18;50.02;D:maj
50.02;52.33;G:maj
52.33;53.72;N
53.72;54.64;G:maj
54.64;55.1;E:min
55.1;55.56;B:min
55.56;56.02;G:maj
56.02;57.41;N
57.41;59.26;D:maj
59.26;61.1;G:maj
61.1;62.95;C:maj
62.95;63.87;G:maj
63.87;64.79;D:maj
64.79;72.18;G:maj
72.18;74.02;D:maj
74.02;75.87;G:maj
75.87;77.72;C:maj
77.72;79.56;D:maj
79.56;86.95;G:maj
86.95;87.41;C:maj
87.41;87.87;E:min
87.87;88.79;C:min
88.79;94.33;G:maj
94.33;94.79;A:maj
94.79;95.25;C:maj
95.25;95.72;F#:min
95.72;96.18;A:maj
96.18;96.64;D:maj
96.64;97.1;F:maj
97.1;97.56;B:min
97.56;98.95;D:maj
98.95;99.41;B:min
99.41;99.87;F:maj
99.87;101.71;G:maj
101.71;103.56;C:maj
103.56;105.41;B:maj
105.41;107.25;C:maj
107.25;108.18;G:maj
108.18;109.56;A:maj
109.56;110.02;G:maj
110.02;110.48;N
110.48;112.79;D:maj
112.79;114.64;G:maj
114.64;119.71;C:maj
119.71;120.18;G:maj
120.18;122.481;N
