t_start;t_end;chord
0.07;5.25;N
5.25;6.28;A:maj
6.28;7.31;E:maj
7.31;22.83;A:maj
22.83;24.38;F:maj
24.38;24.9;A:maj
24.9;29.04;F#:min
29.04;32.66;A:maj
32.66;33.18;F#:min
33.18;40.42;D:maj
40.42;41.45;F#:min
41.45;49.73;D:maj
49.73;58.0;E:maj
58.0;60.07;N
60.07;62.14;A:maj
62.14;64.21;E:maj
64.21;66.28;D:maj
66.28;66.8;A:maj
66.8;67.31;F#:maj
67.31;67.83;B:maj
67.83;70.42;E:maj
70.42;79.73;A:maj
79.73;80.76;D:maj
80.76;81.8;E:maj
81.8;82.83;A:maj
82.83;84.9;D:maj
84.9;86.97;A:maj
86.97;88.52;D:maj
88.52;89.04;B:maj
89.04;91.11;A:maj
91.11;92.66;D:maj
92.66;93.17;B:maj
93.17;100.42;A:maj
100.42;101.45;D:maj
101.45;102.49;E:maj
102.49;103.52;A:maj
103.52;105.59;D:maj
105.59;107.66;A:maj
107.66;109.21;D:maj
109.21;109.73;B:maj
109.73;125.24;A:maj
125.24;126.28;D:maj
126.28;127.31;E:maj
127.31;128.35;A:maj
128.35;130.42;D:maj
130.42;132.49;A:maj
132.49;134.04;D:maj
134.04;134.55;B:maj
134.55;137.14;A:maj
137.14;137.66;F#:maj
137.66;138.18;B:maj
138.18;140.76;E:maj
140.76;141.28;A:maj
141.28;142.311;N
