t_start;t_end;chord
0.09;0.67;C:maj
0.67;1.25;A#:maj
1.25;1.54;G#:maj
1.54;1.84;C:min
1.84;2.44;C:maj
2.44;2.74;G:maj
2.74;3.05;D:maj
3.05;3.35;F:maj
3.35;3.66;A#:maj
3.66;3.96;G:maj
3.96;4.27;C#:maj
4.27;4.57;D:min
4.57;4.88;A:min
4.88;16.58;C:maj
16.58;18.05;D:min
18.05;19.23;G:maj
19.23;21.64;C:maj
21.64;22.85;F:maj
22.85;24.05;F:min
24.05;24.34;C:maj
24.34;25.23;A:min
25.23;25.84;D:min
25.84;26.45;G:maj
26.45;35.78;C:maj
35.78;37.26;D:min
37.26;38.46;G:maj
38.46;40.57;C:maj
40.57;41.78;F:maj
41.78;43.26;F:min
43.26;43.55;C:maj
43.55;44.45;A:min
44.45;44.75;D:min
44.75;54.97;C:maj
54.97;55.27;G:maj
55.27;56.17;D:min
56.17;57.67;G:maj
57.67;59.77;C:maj
59.77;60.98;F:maj
60.98;62.48;F:min
62.48;62.78;C:maj
62.78;63.39;A:min
63.39;64.0;D:min
64.0;64.3;C:min
64.3;64.6;G:maj
64.6;74.17;C:maj
74.17;75.39;D:min
75.39;76.57;G:maj
76.57;78.98;C:maj
78.98;80.44;F:maj
80.44;81.63;F:min
81.63;82.24;C:maj
82.24;82.86;A:min
82.86;83.16;D:min
83.16;83.77;G:maj
83.77;93.38;C:maj
93.38;94.58;D:min
94.58;96.05;G:maj
96.05;98.47;C:maj
98.47;99.66;F:maj
99.66;100.85;F:min
100.85;102.06;C:maj
102.06;102.65;D:min
102.65;103.25;G:maj
103.25;104.15;C:maj
104.15;104.46;A:min
104.46;105.06;D:min
105.06;105.67;G:maj
105.67;108.07;C:maj
108.07;109.26;F:maj
109.26;110.47;F:min
110.47;111.67;C:maj
111.67;112.87;A:min
112.87;114.06;D:min
114.06;115.25;G:maj
115.25;115.55;C:maj
115.55;115.84;A:min
115.84;116.13;D#:maj
116.13;116.43;C:maj
116.43;117.03;F:maj
117.03;117.63;F:min
117.63;119.13;G:maj
119.13;119.43;E:maj
119.43;120.22;C:maj
