t_start;t_end;chord
0.19;4.99;D#:maj
4.99;7.39;G#:maj
7.39;9.79;G#:min
9.79;15.19;D#:maj
15.19;19.39;A#:maj
19.39;28.99;D#:maj
28.99;29.59;G:min
29.59;31.39;A#:maj
31.39;38.59;D#:maj
38.59;40.99;A#:maj
40.99;45.79;D#:maj
45.79;48.19;G:min
48.19;50.59;A#:min
50.59;52.99;C:maj
52.99;53.59;F:maj
53.59;54.19;C#:maj
54.19;54.79;N
54.79;55.39;F:maj
55.39;55.99;A#:maj
55.99;56.59;C:maj
56.59;60.19;F:maj
60.19;60.79;A#:maj
60.79;61.39;C:maj
61.39;64.39;F:maj
64.39;64.99;G:min
64.99;67.39;C:maj
67.39;74.59;F:maj
74.59;75.79;C:maj
75.79;79.39;F:maj
79.39;80.59;C:maj
80.59;84.19;F:maj
84.19;85.39;C:maj
85.39;88.99;F:maj
88.99;90.19;C:maj
90.19;91.39;F:maj
91.39;93.79;A#:maj
93.79;96.19;F:maj
96.19;98.59;G:min
98.59;103.39;F:maj
103.39;104.59;C:maj
104.59;108.19;F:maj
108.19;109.39;C:maj
109.39;112.99;F:maj
112.99;114.19;A#:maj
114.19;115.39;A#:min
115.39;116.59;C:maj
116.59;117.79;G:min
117.79;119.59;F:maj
119.59;121.391;N
