t_start;t_end;chord
0.83;2.34;F:maj
2.34;6.09;D:min
6.09;7.59;A#:maj
7.59;9.84;A#:min
9.84;12.81;F:maj
12.81;13.55;G:maj
13.55;14.29;D:min
14.29;16.53;A#:maj
16.53;17.28;G:min
17.28;18.8;C:maj
18.8;25.57;F:maj
25.57;27.8;A#:maj
27.8;34.51;F:maj
34.51;36.74;G:maj
36.74;41.25;C:maj
41.25;43.5;F:maj
43.5;45.73;A#:maj
45.73;50.23;F:maj
50.23;52.46;A#:maj
52.46;54.73;C:maj
54.73;63.78;F:maj
63.78;66.04;A#:maj
66.04;68.28;G:maj
68.28;71.28;C:maj
71.28;72.02;G:min
72.02;72.76;D#:maj
72.76;81.76;F:maj
81.76;84.03;A#:maj
84.03;86.28;G:maj
86.28;89.27;C:maj
89.27;90.01;G:min
90.01;90.76;D#:maj
90.76;93.01;F:maj
93.01;95.27;G:min
95.27;103.718;F:maj
