t_start;t_end;chord
0.31;1.11;G#:maj
1.11;1.91;D#:maj
1.91;5.11;G:maj
5.11;6.72;G#:maj
6.72;8.31;F:min
8.31;9.91;C:min
9.91;11.51;G:maj
11.51;27.51;C:min
27.51;28.32;A#:maj
28.32;30.72;G:maj
30.72;31.51;C:maj
31.51;32.32;F:min
32.32;33.91;A#:maj
33.91;34.71;D#:maj
34.71;35.51;C:min
35.51;37.12;G#:maj
37.12;40.31;G:maj
40.31;46.71;C:min
46.71;53.11;G:maj
53.11;62.71;C:min
62.71;65.92;G:maj
65.92;67.51;F:min
67.51;69.12;A#:maj
69.12;69.91;D#:maj
69.91;70.72;C:min
70.72;72.31;A#:maj
72.31;75.51;G:maj
75.51;78.72;C:min
78.72;80.31;F:min
80.31;81.91;A#:maj
81.91;83.51;D#:maj
83.51;85.11;G#:maj
85.11;86.71;A#:maj
86.71;88.32;G:maj
88.32;101.11;C:min
101.11;104.31;G:maj
104.31;107.51;F:min
107.51;108.31;C:min
108.31;109.11;D#:maj
109.11;109.91;A#:maj
109.91;110.71;G#:maj
110.71;113.92;G:maj
113.92;117.91;C:min
117.91;118.72;G:maj
118.72;120.31;D#:maj
120.31;123.52;G#:maj
123.52;129.91;G:maj
129.91;139.51;C:min
139.51;142.71;G:maj
142.71;144.31;F:min
144.31;145.92;A#:maj
145.92;147.51;C:min
147.51;149.11;F:min
149.11;152.31;G:maj
152.31;155.51;C:min
155.51;158.71;G:maj
158.71;160.31;G#:maj
160.31;161.91;F:min
161.91;163.84;C:min
163.84;166.39;G:maj
166.39;173.902;C:min
