t_start;t_end;chord
0.07;2.63;F:maj
2.63;5.19;C:maj
5.19;7.76;D:min
7.76;10.32;A:min
10.32;12.9;G:min
12.9;15.48;C:maj
15.48;18.06;F:maj
18.06;20.64;C:maj
20.64;30.87;F:maj
30.87;36.03;C:maj
36.03;41.18;F:maj
41.18;46.34;A#:maj
46.34;51.46;F:maj
51.46;56.62;A#:maj
56.62;61.76;F:maj
61.76;64.34;C:maj
64.34;66.06;F#:maj
66.06;66.91;A:maj
66.91;68.61;D:min
68.61;69.46;F:maj
69.46;72.04;G:maj
72.04;74.62;F:maj
74.62;77.2;C:maj
77.2;79.76;F:maj
79.76;82.33;C:maj
82.33;84.89;D:min
84.89;87.47;A:min
87.47;90.05;G:min
90.05;92.62;C:maj
92.62;95.2;F:maj
95.2;97.77;C:maj
97.77;100.34;F:maj
100.34;102.91;C:maj
102.91;105.49;F:maj
105.49;108.07;A#:maj
108.07;114.875;F:maj
