t_start;t_end;chord
0.17;4.34;C:maj
4.34;6.43;G:maj
6.43;6.95;D:maj
6.95;7.47;F:maj
7.47;9.56;G:maj
9.56;10.08;C:maj
10.08;11.13;D:maj
11.13;11.65;F:maj
11.65;13.73;G:maj
13.73;15.82;N
15.82;16.86;G:maj
16.86;17.39;N
17.39;17.91;E:maj
17.91;18.43;D:maj
18.43;18.95;C:maj
18.95;20.0;G:maj
20.0;21.04;C:maj
21.04;21.56;N
21.56;22.6;D:maj
22.6;23.13;N
23.13;30.43;G:maj
30.43;32.52;A:min
32.52;34.6;D:maj
34.6;38.78;G:maj
38.78;40.86;A:min
40.86;42.95;D:maj
42.95;44.52;G:maj
44.52;46.08;B:maj
46.08;48.17;G:maj
48.17;49.21;C:maj
49.21;50.25;G:maj
50.25;52.34;D:maj
52.34;52.86;G:maj
52.86;54.43;B:maj
54.43;56.52;G:maj
56.52;57.56;C:maj
57.56;58.6;G:maj
58.6;59.65;D:maj
59.65;61.73;G:maj
61.73;62.25;F:maj
62.25;62.78;B:min
62.78;63.82;G:maj
63.82;64.34;F:maj
64.34;64.86;D:maj
64.86;78.43;G:maj
78.43;80.51;A:min
80.51;82.6;D:maj
82.6;86.78;G:maj
86.78;88.86;A:min
88.86;90.95;D:maj
90.95;92.51;G:maj
92.51;94.08;B:maj
94.08;96.17;G:maj
96.17;97.21;C:maj
97.21;98.25;G:maj
98.25;100.34;D:maj
100.34;100.86;G:maj
100.86;102.43;B:maj
102.43;104.51;G:maj
104.51;105.56;C:maj
105.56;106.6;G:maj
106.6;107.64;D:maj
107.64;109.21;G:maj
109.21;110.25;C:maj
110.25;110.77;G:maj
110.77;111.3;D:maj
111.3;111.82;F:maj
111.82;115.47;G:maj
115.47;117.031;N
