t_start;t_end;chord
0.01;0.69;B:maj
0.69;1.03;A:maj
1.03;1.37;A#:maj
1.37;2.05;B:maj
2.05;2.39;C#:min
2.39;2.73;D:min
2.73;3.4;B:maj
3.4;3.73;C:maj
3.73;4.07;C#:maj
4.07;4.4;B:maj
4.4;4.73;A:maj
4.73;14.71;E:maj
14.71;16.04;B:maj
16.04;20.06;E:maj
20.06;20.4;N
20.4;20.74;B:maj
20.74;24.05;E:maj
24.05;26.69;A:maj
26.69;27.35;E:maj
27.35;28.01;B:maj
28.01;28.68;C#:min
28.68;29.36;A:min
29.36;36.07;E:maj
36.07;37.4;B:maj
37.4;45.38;E:maj
45.38;48.06;A:maj
48.06;48.72;E:maj
48.72;49.39;B:maj
49.39;50.06;C#:min
50.06;50.39;A:min
50.39;50.73;D:maj
50.73;57.4;E:maj
57.4;58.73;B:maj
58.73;66.72;E:maj
66.72;69.39;A:maj
69.39;70.06;E:maj
70.06;70.73;B:maj
70.73;71.4;C#:min
71.4;72.07;A:min
72.07;78.74;E:maj
78.74;80.07;B:maj
80.07;88.05;E:maj
88.05;90.72;A:maj
90.72;91.4;E:maj
91.4;92.08;B:maj
92.08;92.74;C#:min
92.74;93.4;A:min
93.4;98.72;E:maj
98.72;101.38;A:maj
101.38;102.05;E:maj
102.05;102.71;B:maj
102.71;103.37;C#:min
103.37;104.03;A:min
104.03;110.74;E:maj
110.74;112.06;B:maj
112.06;118.05;E:maj
118.05;119.06;N
119.06;119.4;B:maj
119.4;119.74;E:maj
119.74;120.081;N
