t_start;t_end;chord
0.02;0.87;N
0.87;1.73;G:maj
1.73;3.44;E:min
3.44;22.3;G:maj
22.3;24.01;E:min
24.01;26.58;A:min
26.58;27.44;G:maj
27.44;28.3;G#:maj
28.3;30.87;D:maj
30.87;32.58;G:maj
32.58;34.3;D:maj
34.3;36.01;E:min
36.01;37.73;D:maj
37.73;40.3;E:min
40.3;41.16;C:min
41.16;44.59;D:maj
44.59;46.3;G:maj
46.3;48.01;B:min
48.01;49.73;E:min
49.73;53.16;G:maj
53.16;54.01;E:min
54.01;54.87;D:maj
54.87;58.3;G:maj
58.3;59.15;N
59.15;65.15;D:maj
65.15;68.58;B:maj
68.58;69.44;A:maj
69.44;72.01;E:min
72.01;75.44;D:maj
75.44;78.01;G:maj
78.01;78.87;D:maj
78.87;79.73;A#:maj
79.73;81.44;C:maj
81.44;82.3;G:maj
82.3;84.01;A:min
84.01;85.73;D:maj
85.73;86.58;N
86.58;87.44;G:maj
87.44;89.16;D:maj
89.16;90.87;E:min
90.87;92.58;D:maj
92.58;95.16;E:min
95.16;96.01;C:min
96.01;99.44;D:maj
99.44;101.15;G:maj
101.15;102.87;B:min
102.87;104.58;E:min
104.58;108.01;G:maj
108.01;108.87;E:min
108.87;109.73;D:maj
109.73;111.44;G:maj
111.44;112.3;E:min
112.3;113.15;E:maj
113.15;115.73;A:min
115.73;116.58;D:maj
116.58;118.3;G:maj
118.3;120.01;C:maj
120.01;124.502;G:maj
