t_start;t_end;chord
0.02;0.61;N
0.61;1.81;G:maj
1.81;2.41;D:maj
2.41;3.01;B:min
3.01;4.21;G:maj
4.21;6.01;C:maj
6.01;7.81;C:min
7.81;10.81;G:maj
10.81;15.01;D:maj
15.01;22.21;G:maj
22.21;25.81;C:maj
25.81;27.61;G:maj
27.61;29.41;A:maj
29.41;33.01;D:maj
33.01;36.61;G:maj
36.61;38.41;C:maj
38.41;40.21;C:min
40.21;42.01;G:maj
42.01;43.81;D:maj
43.81;47.41;G:maj
47.41;51.01;D:maj
51.01;54.61;G:maj
54.61;56.41;E:min
56.41;58.21;A:maj
58.21;61.81;D:maj
61.81;65.41;G:maj
65.41;67.21;C:maj
67.21;69.01;C:min
69.01;70.81;G:maj
70.81;72.61;D:maj
72.61;74.41;C:maj
74.41;76.81;G:maj
76.81;77.41;B:min
77.41;78.01;D:min
78.01;78.61;E:min
78.61;79.21;C:min
79.21;79.81;G:maj
79.81;81.01;A:maj
81.01;81.61;D#:maj
81.61;83.41;D:maj
83.41;90.61;G:maj
90.61;94.21;C:maj
94.21;96.01;G:maj
96.01;97.81;A:maj
97.81;101.41;D:maj
101.41;105.01;G:maj
105.01;106.81;C:maj
106.81;108.61;C:min
108.61;110.41;G:maj
110.41;112.21;D:maj
112.21;115.81;G:maj
115.81;119.41;D:maj
119.41;123.01;G:maj
123.01;124.81;E:min
124.81;126.61;A:maj
126.61;130.21;D:maj
130.21;133.81;G:maj
133.81;135.61;C:maj
135.61;137.41;C:min
137.41;139.21;G:maj
139.21;141.01;D:maj
141.01;142.81;G:maj
142.81;144.61;C:maj
144.61;146.41;C:min
146.41;150.956;G:maj
