t_start;t_end;chord
0.26;4.87;F:maj
4.87;9.49;G:min
9.49;21.03;C:maj
21.03;27.95;F:maj
27.95;29.1;C:maj
29.1;32.57;F:maj
32.57;33.72;C:maj
33.72;37.18;F:maj
37.18;38.33;A#:maj
38.33;41.8;F:maj
41.8;42.95;A#:maj
42.95;44.1;C:maj
44.1;46.41;F:maj
46.41;47.57;C:maj
47.57;51.03;F:maj
51.03;52.18;C:maj
52.18;53.33;F:maj
53.33;55.64;A#:maj
55.64;56.79;F:maj
56.79;60.26;A#:maj
60.26;61.41;F:maj
61.41;64.87;A#:maj
64.87;66.03;D#:maj
66.03;69.49;A#:maj
69.49;71.8;C:maj
71.8;78.72;F:maj
78.72;79.87;C:maj
79.87;83.33;F:maj
83.33;84.49;C:maj
84.49;87.95;F:maj
87.95;89.1;A#:maj
89.1;92.57;F:maj
92.57;93.72;A#:maj
93.72;94.87;C:maj
94.87;97.18;F:maj
97.18;98.33;C:maj
98.33;98.91;D:min
98.91;101.8;F:maj
101.8;102.95;C:maj
102.95;108.72;F:maj
108.72;113.33;G:min
113.33;116.22;C:maj
116.22;116.79;F:maj
116.79;118.53;G:min
118.53;119.1;A:min
119.1;119.68;A#:maj
119.68;120.26;D:min
120.26;123.72;C:maj
123.72;124.3;F:maj
124.3;124.871;N
