t_start;t_end;chord
0.06;1.56;F:maj
1.56;2.06;G#:maj
2.06;3.06;D:min
3.06;3.56;C#:maj
3.56;4.06;A:maj
4.06;4.56;C:maj
4.56;5.06;A#:min
5.06;5.56;D:min
5.56;6.06;C:maj
6.06;12.06;F:maj
12.06;16.06;C:maj
16.06;20.06;F:maj
20.06;20.56;C:maj
20.56;21.06;A:maj
21.06;21.56;D:min
21.56;22.06;C:maj
22.06;24.06;F:maj
24.06;26.06;A#:maj
26.06;28.06;F:maj
28.06;31.06;C:maj
31.06;32.06;F:maj
32.06;34.06;A#:maj
34.06;36.06;F:maj
36.06;40.06;C:maj
40.06;44.06;F:maj
44.06;44.56;D#:maj
44.56;48.06;C:maj
48.06;52.06;F:maj
52.06;52.56;C:maj
52.56;53.06;A:maj
53.06;53.56;D:min
53.56;54.06;C:maj
54.06;56.06;F:maj
56.06;57.06;C:maj
57.06;58.06;F:maj
58.06;59.06;C:maj
59.06;60.06;F:maj
60.06;61.06;G:maj
61.06;62.06;C:maj
62.06;64.06;G:maj
64.06;65.06;C:maj
65.06;66.06;F:min
66.06;67.06;A:min
67.06;70.06;C:maj
70.06;74.06;F:maj
74.06;78.06;C:maj
78.06;82.06;F:maj
82.06;82.56;C:maj
82.56;83.06;A:maj
83.06;83.56;D:min
83.56;84.06;C:maj
84.06;86.06;F:maj
86.06;88.06;A#:maj
88.06;90.06;F:maj
90.06;93.06;C:maj
93.06;94.06;F:maj
94.06;96.06;A#:maj
96.06;98.06;F:maj
98.06;102.06;C:maj
102.06;106.06;F:maj
106.06;110.06;C:maj
110.06;114.06;F:maj
114.06;114.56;C:maj
114.56;115.06;A#:min
115.06;115.56;D:min
115.56;116.06;C:maj
116.06;119.06;F:maj
119.06;120.06;G#:maj
120.06;121.06;D:min
121.06;121.56;C#:maj
121.56;122.06;A:maj
122.06;122.56;C:maj
122.56;123.06;A#:min
123.06;123.56;D:min
123.56;125.06;C:maj
125.06;125.56;F:maj
125.56;125.561;N
